horizon,mse,rmse,mae,mape,mdape,coverage
6 days 00:00:00.000000000,2108.336553717497,45.916626114268205,34.41005162565508,0.30259185395977517,0.1455516196595464,0.8787878787878789
7 days 00:00:00.000000000,2664.2588815128097,51.61645940504646,38.183985900105114,0.3328167967663532,0.18283746060106007,0.8181818181818182
8 days 00:00:00.000000000,3126.790715923603,55.91771379378455,41.59607467989228,0.3663361499806806,0.21836513260530782,0.7727272727272727
9 days 00:00:00.000000000,4120.616670481176,64.19202964917977,47.20125102748966,0.48671273356305633,0.26121223843143704,0.7121212121212122
10 days 00:00:00.000000000,5027.00655490372,70.90138612822545,52.44680773375629,0.6578595012562981,0.3173622534035342,0.6515151515151515
11 days 00:00:00.000000000,5048.580088467013,71.0533608527212,53.36092110125726,0.6718484562908598,0.32382583987912217,0.6212121212121213
12 days 00:00:00.000000000,5049.825620439665,71.0621250768626,53.14378379947178,0.7519878914482124,0.30101435232198176,0.6212121212121213
13 days 00:00:00.000000000,4670.651959401141,68.3421682374882,50.55901285094835,0.718162808120023,0.24898245218869752,0.6363636363636364
14 days 00:00:00.000000000,4426.173808764834,66.52949578017883,49.64589151682245,0.6810860480719856,0.23461846663727637,0.6666666666666669
15 days 00:00:00.000000000,3987.4584016881527,63.14632532212902,48.55635397738344,0.6082322334787712,0.2385254285794749,0.6818181818181819
16 days 00:00:00.000000000,4294.231663915155,65.53038733225338,49.923134738407256,0.8113004480397735,0.2385254285794749,0.6666666666666667
17 days 00:00:00.000000000,4670.246233338272,68.33919982951419,52.60586067262121,0.874611409427363,0.27649170485190444,0.6515151515151516
18 days 00:00:00.000000000,4602.399281993263,67.84098526697016,51.85595821377309,0.8461939778616135,0.2477786122627656,0.6666666666666669
19 days 00:00:00.000000000,4574.651003311985,67.6361663853887,51.40572643774232,0.8487172965206253,0.24329831974829808,0.696969696969697
20 days 00:00:00.000000000,4643.569187904533,68.14373916879329,51.99702378828485,0.8476924983495558,0.26813171300012373,0.6818181818181819
21 days 00:00:00.000000000,4298.452711409328,65.56258621660167,49.656431547746976,0.8004932559385767,0.23523621996385938,0.6969696969696971
22 days 00:00:00.000000000,3791.1380722737194,61.57221834783704,48.01616909740605,0.480447277669592,0.21452472820636842,0.6969696969696971
23 days 00:00:00.000000000,3488.278426516671,59.061649371793465,47.037979421818164,0.428060971590411,0.2094321536618377,0.696969696969697
24 days 00:00:00.000000000,3826.1956591430862,61.85624996023511,48.12859623883067,0.41648124982812773,0.2094321536618377,0.6969696969696971
25 days 00:00:00.000000000,3798.595815854241,61.632749539950275,48.39319420344187,0.42910215788793415,0.2094321536618377,0.696969696969697
26 days 00:00:00.000000000,4183.054525330086,64.67653767271472,50.70202833794568,0.44439129207237527,0.2130419492802998,0.6666666666666667
27 days 00:00:00.000000000,5206.901860780614,72.15886543440531,54.45796678620762,0.5962276609878348,0.21567581687129284,0.6363636363636365
28 days 00:00:00.000000000,5236.461283678396,72.36339740281959,53.75679225896564,0.5837065848687681,0.21007758402535404,0.6515151515151516
29 days 00:00:00.000000000,5590.481585756341,74.76952310772312,54.92896685569748,0.6065153174392363,0.20526994828370987,0.6515151515151515
30 days 00:00:00.000000000,5067.514161562533,71.18647456899754,53.40097311535831,0.5708698777342953,0.21567581687129284,0.6515151515151516
31 days 00:00:00.000000000,5586.286262152104,74.74146280447088,56.911627613059075,0.5849816338631509,0.2385090917643366,0.6212121212121212
32 days 00:00:00.000000000,5304.350559455508,72.83097252855758,54.80279882249877,0.5841006824027649,0.2205192601245739,0.6515151515151516
33 days 00:00:00.000000000,4788.6550169264,69.2001085037184,54.50240167067386,0.4510974048035038,0.24228012891478698,0.6363636363636364
34 days 00:00:00.000000000,5088.91748768845,71.33664897994893,57.489723391076055,0.4473191487109137,0.281802103372916,0.6060606060606061
35 days 00:00:00.000000000,5001.5691426763515,70.72177276254004,57.01032095573012,0.43336094054131324,0.3057818799284422,0.6212121212121212
36 days 00:00:00.000000000,5357.826423256141,73.19717496772769,58.58179717291246,0.42904082590931025,0.2946788291040777,0.6212121212121213
37 days 00:00:00.000000000,4837.970077285174,69.55551794994538,53.9843453575809,0.4080428982689588,0.26397310112876593,0.6363636363636364
38 days 00:00:00.000000000,4914.810027179965,70.10570609572352,54.713223911019426,0.4145049075847743,0.2947407598354772,0.6515151515151516
39 days 00:00:00.000000000,4531.619808319416,67.31730690037604,52.34550183319019,0.46838594205646256,0.26787439544221614,0.6818181818181819
40 days 00:00:00.000000000,3955.651737968572,62.89397219105001,48.73267977738893,0.45750609314884105,0.26011325351855746,0.7272727272727274
41 days 00:00:00.000000000,3849.440871872104,62.0438624835052,48.94003590611702,0.4389248604077123,0.2601672659144759,0.7121212121212123
42 days 00:00:00.000000000,3891.392958730638,62.38103043979506,49.60685016924176,0.4388461894032404,0.26406856022792613,0.696969696969697
43 days 00:00:00.000000000,4406.4071089807785,66.38077363951687,54.02640040151856,0.4925495269304321,0.28631837666594834,0.6666666666666666
44 days 00:00:00.000000000,4460.057420833127,66.78366133144489,55.27964298002718,0.523114022362485,0.2877763400902712,0.6060606060606061
45 days 00:00:00.000000000,5028.341297973875,70.91079817611613,58.300297816889056,0.4956155693290842,0.3304686624944895,0.6060606060606061
46 days 00:00:00.000000000,5045.353660381594,71.0306529632214,58.6132590882831,0.5774550686950374,0.31685655406347274,0.5909090909090909
47 days 00:00:00.000000000,5253.855204901069,72.48348229011262,58.80894324793735,0.5891683807006055,0.30293245781042255,0.6060606060606062
48 days 00:00:00.000000000,5860.8624550997565,76.55626986145391,61.39761600047837,0.6815946910194068,0.32432818608726666,0.5909090909090909
49 days 00:00:00.000000000,6368.114239025101,79.80046515544318,61.67405743674616,0.7670482802122943,0.36537354610114015,0.606060606060606
50 days 00:00:00.000000000,7332.787056070731,85.63169422632447,66.05699527284239,0.8534668822403394,0.3307237567711247,0.5757575757575757
51 days 00:00:00.000000000,7102.2830573057545,84.27504409554322,65.11568112182418,0.8593135146055922,0.3002289164984372,0.5454545454545455
52 days 00:00:00.000000000,8004.424088643386,89.46744708911385,69.28988628603327,0.8778000202851103,0.38031335751239165,0.5
53 days 00:00:00.000000000,8614.364289358104,92.81359970046472,71.48552358245405,0.9945926469644897,0.38031335751239165,0.48484848484848486
54 days 00:00:00.000000000,9211.8575522547,95.9784223263474,73.9452083995722,1.2644286989203029,0.39957011119561414,0.48484848484848486
55 days 00:00:00.000000000,10033.108798116573,100.16540719288557,78.06554085057748,1.261300086071115,0.4319757155207428,0.4696969696969698
56 days 00:00:00.000000000,10672.685039327249,103.30868811153904,78.98311294766373,1.261354832570008,0.4254146000167395,0.49999999999999994
57 days 00:00:00.000000000,10697.790690401402,103.43012467555766,79.29540425179923,1.3014050675611426,0.4509097200766591,0.5
58 days 00:00:00.000000000,10166.563289302681,100.82937711452294,78.16039563536535,1.3101024465598652,0.43672351339939663,0.5151515151515151
59 days 00:00:00.000000000,10026.399877912834,100.13191238517736,80.18246062035979,1.2429281476305285,0.4787301762313838,0.4848484848484848
60 days 00:00:00.000000000,10152.421340140376,100.75922459080546,81.93227907750331,0.9991846978981567,0.500222633132392,0.4696969696969696
