horizon,mse,rmse,mae,mape,mdape,coverage
6 days 00:00:00.000000000,2325.806451082482,48.22661558810116,36.38747018463032,0.3020452427121664,0.17326002660167047,0.8181818181818182
7 days 00:00:00.000000000,2793.082987971443,52.84962618573042,39.844620658092346,0.3249073941058563,0.21452709591588526,0.7546897546897547
8 days 00:00:00.000000000,3071.3700160562257,55.419942403941796,41.324310186052614,0.3365552741540678,0.23938663337468147,0.7229437229437229
9 days 00:00:00.000000000,4157.849154186601,64.48138610627566,47.50812411400633,0.4738926096314133,0.28301537150199113,0.6551226551226551
10 days 00:00:00.000000000,5106.488784451178,71.45970042234418,53.178663997483994,0.6510830774592552,0.2955064689351585,0.5916305916305917
11 days 00:00:00.000000000,5126.594411466545,71.60024030313407,53.83802566337755,0.6583214771075494,0.2955064689351585,0.5569985569985569
12 days 00:00:00.000000000,5116.64130530421,71.5307018370728,54.519239792304774,0.7463498863097627,0.2955064689351585,0.533910533910534
13 days 00:00:00.000000000,4901.5084319983725,70.01077368518628,53.92421703359098,0.7311946660485326,0.29723540743456417,0.5093795093795094
14 days 00:00:00.000000000,4661.069614733275,68.27202659020219,53.731407659813804,0.6863854717276762,0.31314719841746735,0.5021645021645021
15 days 00:00:00.000000000,4246.333622006425,65.16389814925458,52.34510490381773,0.5929597798749573,0.30814672382237407,0.49783549783549785
16 days 00:00:00.000000000,4633.970779427261,68.07327507493129,53.00901460088374,0.7688523217605063,0.31824728900141963,0.49350649350649356
17 days 00:00:00.000000000,5022.921037891081,70.87256900868687,55.69779136474126,0.8079457556918325,0.3325202298893223,0.4704184704184704
18 days 00:00:00.000000000,5136.01824802229,71.66601878172311,55.58161534879446,0.8073882766353124,0.31186406659002525,0.5064935064935066
19 days 00:00:00.000000000,5066.783036082999,71.181339100097,55.157424821661365,0.80566141601246,0.3051913160718493,0.5454545454545454
20 days 00:00:00.000000000,4896.891217032642,69.9777908841987,54.63805226183417,0.7916275547040973,0.2982718265928479,0.5656565656565656
21 days 00:00:00.000000000,4436.527160175889,66.60726056651698,52.44809435019423,0.6811179562580074,0.3051913160718493,0.5772005772005772
22 days 00:00:00.000000000,3815.087045584419,61.76639090625596,50.79503720972149,0.4770487014170018,0.2982718265928479,0.5974025974025974
23 days 00:00:00.000000000,3385.1427964605664,58.18197999776706,48.195423700719836,0.41139795883040947,0.2550732843367061,0.6204906204906204
24 days 00:00:00.000000000,3746.10401806871,61.20542474379791,49.58669723825211,0.41988472712958863,0.260785065109686,0.6204906204906204
25 days 00:00:00.000000000,3687.7722618579555,60.72703073473917,49.09437937417398,0.42909061617100297,0.260785065109686,0.6363636363636364
26 days 00:00:00.000000000,4074.584235295523,63.83247007045492,51.2465889655145,0.43972846579409963,0.260785065109686,0.6176046176046176
27 days 00:00:00.000000000,4189.693827727142,64.72784430001622,52.00290475534513,0.4720548806357925,0.22705616336535367,0.6089466089466089
28 days 00:00:00.000000000,4236.1399270662905,65.08563533581193,50.846385221249356,0.47227690161841257,0.22049649528717508,0.6031746031746031
29 days 00:00:00.000000000,4485.018170460987,66.97027826178555,51.75809224880222,0.4982133029806357,0.22049649528717508,0.6132756132756132
30 days 00:00:00.000000000,4152.893039549904,64.4429440633333,50.60547757472465,0.4721339201226624,0.22705616336535367,0.6075036075036075
31 days 00:00:00.000000000,4358.017794425973,66.01528455157921,52.58124898443147,0.4655194720097513,0.2698858795935534,0.5743145743145743
32 days 00:00:00.000000000,3950.460625765734,62.852689884886665,50.584681752686144,0.4529720638020709,0.2228536174466533,0.6269841269841271
33 days 00:00:00.000000000,3967.719365297123,62.98983541252607,51.58776640065341,0.43836917530606484,0.23687778621685107,0.6111111111111112
34 days 00:00:00.000000000,4161.0328990161515,64.50606869912436,54.98489783798228,0.44207297364685977,0.2703347755588881,0.5841269841269842
35 days 00:00:00.000000000,3793.3635493550814,61.59028778431776,53.855327950063774,0.4270794664339758,0.2698858795935534,0.6047619047619047
36 days 00:00:00.000000000,3457.610229788694,58.80144751439963,52.00482842569143,0.4111377589781494,0.2663985560204446,0.6158730158730159
37 days 00:00:00.000000000,3139.0679218545342,56.02738546331191,48.30885105477268,0.39258220324472715,0.24614317685118528,0.6428571428571428
